date, pm25, pm10, o3, no2, so2, co,location
2024-01-04, 70, 33, 22, , , ,"public-relations department, bangkok"
2024-01-05, 67, 41, 30, , , ,"public-relations department, bangkok"
2024-01-06, 79, 39, 25, , , ,"public-relations department, bangkok"
2024-01-07, 78, 47, 30, , , ,"public-relations department, bangkok"
2024-01-08, 86, 53, 37, , , ,"public-relations department, bangkok"
2024-01-09, 112, 44, 37, , , ,"public-relations department, bangkok"
2024-01-10, 89, 38, 22, , , ,"public-relations department, bangkok"
2024-01-11, 75, 34, 20, , , ,"public-relations department, bangkok"
2024-01-12, 67, 34, 23, , , ,"public-relations department, bangkok"
2024-01-13, 68, 41, 23, , , ,"public-relations department, bangkok"
2024-01-14, 83, 35, 21, , , ,"public-relations department, bangkok"
2024-01-15, 71, 41, 22, , , ,"public-relations department, bangkok"
2024-01-16, 70, 43, 25, , , ,"public-relations department, bangkok"
2024-01-17, 85, 52, 34, , , ,"public-relations department, bangkok"
2024-01-18, 95, 53, 35, , , ,"public-relations department, bangkok"
2024-01-19, 111, 48, 29, , , ,"public-relations department, bangkok"
2024-01-20, 96, 38, 27, , , ,"public-relations department, bangkok"
2024-01-21, 85, 43, 32, , , ,"public-relations department, bangkok"
2024-01-22, 89, 51, 19, , , ,"public-relations department, bangkok"
2024-01-23, 106, 37, 19, , , ,"public-relations department, bangkok"
2024-01-24, 64, 34, 19, , , ,"public-relations department, bangkok"
2024-01-25, 67, 39, 27, , , ,"public-relations department, bangkok"
2024-01-26, 75, 45, 27, , , ,"public-relations department, bangkok"
2024-01-27, 94, 50, 25, , , ,"public-relations department, bangkok"
2024-01-28, 103, 42, 25, , , ,"public-relations department, bangkok"
2024-01-29, 88, 61, 33, , , ,"public-relations department, bangkok"
2024-01-30, 131, 54, 39, , , ,"public-relations department, bangkok"
2024-01-31, 123, 37, 20, , , ,"public-relations department, bangkok"
2024-02-01, 76, 34, 19, , , ,"public-relations department, bangkok"
2024-02-02, 66, 32, 16, , , ,"public-relations department, bangkok"
2024-02-03, 66, 33, 23, , , ,"public-relations department, bangkok"
2024-02-04, 70, 40, 35, , , ,"public-relations department, bangkok"
2024-02-05, 82, 36, 22, , , ,"public-relations department, bangkok"
2024-02-06, 73, 30, 18, , , ,"public-relations department, bangkok"
2024-02-07, 66, 33, 16, , , ,"public-relations department, bangkok"
2024-02-08, 64, 28, 15, , , ,"public-relations department, bangkok"
2024-02-09, 60, 42, 16, , , ,"public-relations department, bangkok"
2024-02-10, 83, 45, 26, , , ,"public-relations department, bangkok"
2024-02-11, 84, 55, 25, , , ,"public-relations department, bangkok"
2024-02-12, 119, 61, 32, , , ,"public-relations department, bangkok"
2024-02-13, 128, 62, 44, , , ,"public-relations department, bangkok"
2024-02-14, 137, 54, 41, , , ,"public-relations department, bangkok"
2024-02-15, 121, 39, 26, , , ,"public-relations department, bangkok"
2024-02-16, 77, 32, 13, , , ,"public-relations department, bangkok"
2024-02-17, 65, 29, 14, , , ,"public-relations department, bangkok"
2024-02-18, 54, 28, 11, , , ,"public-relations department, bangkok"
2024-02-19, 53, 23, 12, , , ,"public-relations department, bangkok"
2024-02-20, 43, 26, 10, , , ,"public-relations department, bangkok"
2024-02-21, 50, 26, 13, , , ,"public-relations department, bangkok"
2024-02-22, 51, 25, 15, , , ,"public-relations department, bangkok"
2024-02-23, 47, 27, 18, , , ,"public-relations department, bangkok"
2024-02-24, 55, 28, 24, , , ,"public-relations department, bangkok"
2024-02-25, 54, 34, 29, , , ,"public-relations department, bangkok"
2024-02-26, 70, 44, 30, , , ,"public-relations department, bangkok"
2024-02-27, 86, 30, 21, , , ,"public-relations department, bangkok"
2024-02-28, 61, 32, 16, , , ,"public-relations department, bangkok"
2024-02-29, 60, 31, 18, , , ,"public-relations department, bangkok"
2024-03-01, 59, 35, 18, , , ,"public-relations department, bangkok"
2024-03-02, 67, 34, 22, , , ,"public-relations department, bangkok"
2024-03-03, 68, 34, 22, , , ,"public-relations department, bangkok"
2024-03-04, 67, 36, 23, , , ,"public-relations department, bangkok"
2024-03-05, 66, 31, 17, , , ,"public-relations department, bangkok"
2024-03-06, 58, 35, 26, , , ,"public-relations department, bangkok"
2024-03-07, 72, 29, 16, , , ,"public-relations department, bangkok"
2024-03-08, 63, 31, 16, , , ,"public-relations department, bangkok"
2024-03-09, 65, 27, 14, , , ,"public-relations department, bangkok"
2024-03-10, 51, 42, 19, , , ,"public-relations department, bangkok"
2024-03-11, 87, 39, 14, , , ,"public-relations department, bangkok"
2024-03-12, 77, 31, 16, , , ,"public-relations department, bangkok"
2024-03-13, 65, 34, , , , ,"public-relations department, bangkok"
2024-03-14, 62, 31, , , , ,"public-relations department, bangkok"
2024-03-15, 58, 29, , , , ,"public-relations department, bangkok"
2024-03-16, 59, 29, , , , ,"public-relations department, bangkok"
2024-03-17, 59, 32, , , , ,"public-relations department, bangkok"
2024-03-18, 67, 36, , , , ,"public-relations department, bangkok"
2024-03-19, 77, 36, , , , ,"public-relations department, bangkok"
2024-03-20, 80, 50, , , , ,"public-relations department, bangkok"
2024-03-21, 94, 50, , , , ,"public-relations department, bangkok"
2024-03-22, 113, 29, , , , ,"public-relations department, bangkok"
2024-03-23, 57, 30, , , , ,"public-relations department, bangkok"
2024-03-24, 62, 31, , , , ,"public-relations department, bangkok"
2024-03-25, 68, 29, , , , ,"public-relations department, bangkok"
2024-03-26, 61, 27, , , , ,"public-relations department, bangkok"
2024-03-27, 57, 26, , , , ,"public-relations department, bangkok"
2024-03-28, 55, 33, , , , ,"public-relations department, bangkok"
2024-03-29, 70, 25, , , , ,"public-relations department, bangkok"
2024-03-30, 53, 24, , , , ,"public-relations department, bangkok"
2024-03-31, 50, 40, , , , ,"public-relations department, bangkok"
2023-10-01, 36, 12, 10, , , ,"public-relations department, bangkok"
2023-10-02, 31, 15, 12, , , ,"public-relations department, bangkok"
