date,min,max,median,q1,q3,stdev,count
2020-07-14T00:00:00.000Z,3.37,965.92,13.55,10.32,101.33,184.875,131
2020-07-15T00:00:00.000Z,1.8,13.22,5.96,4.55,7.58,2.103,150
2020-07-16T00:00:00.000Z,5.22,11.85,8.11,6.89,10.72,2.067,24
2020-07-17T00:00:00.000Z,3.17,12,6.5,5.46,7.56,1.664,192
2020-07-18T00:00:00.000Z,2.17,49.83,7,5.22,9.5,4.219,359
2020-07-19T00:00:00.000Z,3.55,29.42,6.49,5.22,9.05,3.502,146
2020-07-20T00:00:00.000Z,8.77,41.7,15.13,12.75,17.5,5.863,27
2020-07-21T00:00:00.000Z,7.35,19.64,11.58,10.44,14.62,3.214,64
2020-07-22T00:00:00.000Z,4.45,8.98,5.83,4.8,6.61,1.303,12
2020-07-23T00:00:00.000Z,4.62,13.98,7.37,6.42,9.05,2.015,91
2020-07-24T00:00:00.000Z,5.97,33.6,10.55,9.23,12.53,3.967,127
2020-07-25T00:00:00.000Z,3.22,27.35,8.05,5.45,10.34,4.791,81
2020-07-26T00:00:00.000Z,2.4,57.6,6.15,4.79,9.5,6.104,337
2020-07-27T00:00:00.000Z,1.4,14.85,4.34,3.3,6.02,2.14,184
2020-07-28T00:00:00.000Z,2.04,68.05,8.77,4.97,10.98,8.406,139
2020-07-29T00:00:00.000Z,2.62,11.95,6.62,5.41,8.31,2.17,105
2020-07-30T00:00:00.000Z,1.9,11.2,3.7,2.98,4.59,1.558,138
2020-07-31T00:00:00.000Z,1.2,18.39,2.75,2.02,3.78,2.139,133
2020-08-01T00:00:00.000Z,1.4,629.54,4.54,3.46,5.66,34.741,324
2020-08-02T00:00:00.000Z,0.95,1336.4,3,2.13,4.3,98.555,209
2020-08-03T00:00:00.000Z,2.17,9.93,4.3,3.61,5.27,1.65,88
2020-08-04T00:00:00.000Z,2.72,19.48,8.64,5.69,11.3,3.319,156
2020-08-05T00:00:00.000Z,2.42,727.08,9.03,5.95,11.91,102.306,96
2020-08-06T00:00:00.000Z,1.5,552.33,3.5,2.58,4.59,46.89,146
2020-08-07T00:00:00.000Z,1.6,19.82,6.37,4.83,8.25,2.518,167
2020-08-08T00:00:00.000Z,2.15,44.6,9.23,6.92,11.24,5.068,341
2020-08-09T00:00:00.000Z,1.77,17.75,5.08,4.08,6.66,2.263,325
2020-08-10T00:00:00.000Z,2.42,13.98,6.15,5.15,7.08,1.784,167
2020-08-11T00:00:00.000Z,1.35,11.43,4.21,3.12,6.55,2.315,156
2020-08-12T00:00:00.000Z,3.05,62.3,8.47,6.5,10.67,4.54,296
2020-08-13T00:00:00.000Z,5.72,39.08,10.65,9.11,12.49,3.316,145
2020-08-14T00:00:00.000Z,5.28,18.35,10.22,8.25,12.25,2.812,188
2020-08-15T00:00:00.000Z,5.42,1168.53,11.74,9.93,14.28,198.901,334
2020-08-16T00:00:00.000Z,6.05,1209.23,12.35,10.1,17.07,243.039,435
2020-08-17T00:00:00.000Z,11.78,25.95,17.5,15.91,19.41,2.678,165
2020-08-18T00:00:00.000Z,5.83,27.4,14.18,10.63,16.52,4.035,163
2020-08-19T00:00:00.000Z,6.47,25.1,12.23,9.52,16.3,4.179,143
2020-08-20T00:00:00.000Z,11.55,27.73,17.98,15.98,20.25,3.156,166
2020-08-21T00:00:00.000Z,4.05,16.87,7.5,6.25,9,2.63,171
2020-08-22T00:00:00.000Z,5,19.87,9.65,8,11.7,2.734,347
2020-08-23T00:00:00.000Z,2.62,18.95,9.23,6.46,12.02,3.498,176
2020-08-24T00:00:00.000Z,6.22,23.55,11.03,9.8,13.03,2.685,139
2020-08-25T00:00:00.000Z,5.2,21.3,8.65,6.95,11.68,3.609,135
2020-08-26T00:00:00.000Z,3.8,13.05,7.3,6.21,8.83,1.917,129
2020-08-27T00:00:00.000Z,5.28,27.87,10.78,8.15,16.17,5.008,171
2020-08-28T00:00:00.000Z,5.55,18.07,9.9,8.35,12.4,2.856,154
2020-08-29T00:00:00.000Z,5.03,23.8,9.77,8.15,12.06,3.478,309
2020-08-30T00:00:00.000Z,8.17,937,15.05,13.16,18.36,64.3,205
2020-08-31T00:00:00.000Z,7.75,1228.2,1136.3,581.23,1178.63,462.539,118
2020-09-01T00:00:00.000Z,9.3,27.02,14.96,12.98,16.93,3.25,74
2020-09-02T00:00:00.000Z,3.52,14,7.22,5.78,8.9,2.155,123
2020-09-03T00:00:00.000Z,3.8,12.47,6.83,5.47,8.15,1.866,158
2020-09-04T00:00:00.000Z,4.8,19.12,9.9,8.08,11.73,2.776,329
2020-09-05T00:00:00.000Z,2.67,14,6.53,4.9,7.67,2.117,231
2020-09-06T00:00:00.000Z,3,23.65,5.78,4.62,6.72,2.04,439
2020-09-07T00:00:00.000Z,1.12,14.47,4,3,5.84,2.481,325
2020-09-08T00:00:00.000Z,3.27,14.47,6.01,4.75,8.65,2.839,102
2020-09-09T00:00:00.000Z,3.12,21.77,8.35,6.62,10.53,3.292,115
2020-09-10T00:00:00.000Z,5.97,21.4,12.67,11.48,14.5,2.672,90
