date,min,max,median,q1,q3,stdev,count
2020-03-19T00:00:00.000Z,10.28,23.76,12.66,11.63,13.83,2.165,185
2020-03-20T00:00:00.000Z,13.18,19.72,16.18,14.29,17.01,1.591,177
2020-03-21T00:00:00.000Z,8.66,25.38,15.46,13.15,17.38,3.107,445
2020-03-22T00:00:00.000Z,6.34,17.55,10.03,9.16,11.58,2.336,344
2020-03-23T00:00:00.000Z,8.58,28,10.34,9.52,10.95,2.19,122
2020-03-24T00:00:00.000Z,5.35,724.9,6.17,5.94,6.35,79.562,122
2020-03-25T00:00:00.000Z,4.93,700.32,7.44,5.6,10.87,103.54,144
2020-03-26T00:00:00.000Z,4.59,8.55,5.96,5.52,6.27,0.727,184
2020-03-27T00:00:00.000Z,4.84,8.48,6.31,5.93,6.71,0.752,112
2020-03-28T00:00:00.000Z,8.39,24.77,15.15,11.69,16.82,3.701,170
2020-03-29T00:00:00.000Z,3.66,24.38,12.67,7.36,20.36,6.727,290
2020-03-30T00:00:00.000Z,14.65,24.18,17.97,16.51,21.03,2.706,113
2020-03-31T00:00:00.000Z,13.1,17.01,15.26,14.31,15.81,0.898,97
2020-04-01T00:00:00.000Z,5,6.75,5.71,5.52,5.88,0.353,92
2020-04-02T00:00:00.000Z,7.1,16.2,8.07,7.82,8.59,1.806,126
2020-04-03T00:00:00.000Z,5.19,8.09,5.9,5.6,6.38,0.645,173
2020-04-04T00:00:00.000Z,4.62,21.08,6.71,5.89,14.88,4.816,219
2020-04-05T00:00:00.000Z,4.92,19.09,10.29,6.03,13.56,4.027,515
2020-04-06T00:00:00.000Z,5.25,27.23,8.15,6.66,9.86,2.336,369
2020-04-07T00:00:00.000Z,2.47,6.94,3.12,2.92,3.38,0.769,156
2020-04-08T00:00:00.000Z,2.84,3.67,3.14,2.96,3.31,0.249,8
2020-04-09T00:00:00.000Z,10.94,22.36,12.64,11.98,13.18,1.314,118
2020-04-10T00:00:00.000Z,25.04,42.11,29.58,28.39,31.83,3.021,193
2020-04-11T00:00:00.000Z,14.96,32.04,17.5,16.57,26.07,5.244,135
2020-04-12T00:00:00.000Z,8.46,97.64,16.77,11.76,18.14,7.374,516
2020-04-13T00:00:00.000Z,35.9,84.21,67.11,50.89,73.47,12.059,203
2020-04-14T00:00:00.000Z,22.73,996.39,31.32,26.72,33.35,90.407,210
2020-04-15T00:00:00.000Z,11.01,12.13,11.62,11.01,12.13,0.458,3
2020-04-16T00:00:00.000Z,8.78,14.3,10.42,9.55,11.49,1.278,175
2020-04-17T00:00:00.000Z,3.28,18.26,5.52,4.94,9.41,4.382,227
2020-04-18T00:00:00.000Z,3.58,21.58,7.63,6.62,12.27,3.748,552
2020-04-19T00:00:00.000Z,6.04,999.9,10.63,8.82,11.66,82.048,454
2020-04-20T00:00:00.000Z,4.88,390.62,6.42,5.72,8.59,31.506,189
2020-04-21T00:00:00.000Z,10.34,41.94,13.3,11.67,14.49,5.967,161
2020-04-22T00:00:00.000Z,8.41,19.48,11.96,9.11,13.36,3.22,130
2020-04-23T00:00:00.000Z,6.02,31.38,11.84,8.64,13.64,6.181,186
2020-04-24T00:00:00.000Z,9.44,45.05,13.18,10.94,20.56,9.465,209
2020-04-25T00:00:00.000Z,3.3,999.9,20.86,15.9,25.5,184.289,306
2020-04-26T00:00:00.000Z,12.78,171.72,23.8,19.23,32.19,13.924,510
2020-04-27T00:00:00.000Z,15.34,23.98,18.25,17.38,19.55,1.689,211
2020-04-28T00:00:00.000Z,21.42,86.84,28.55,25.26,35.21,12.161,197
2020-04-29T00:00:00.000Z,17.52,51,36.94,22.55,43.45,10.596,213
2020-04-30T00:00:00.000Z,14.14,38.02,16.64,15.62,18.05,4.922,213
2020-05-01T00:00:00.000Z,5.56,37.6,13.41,7.02,15.98,6.186,503
2020-05-02T00:00:00.000Z,5.32,999.9,11.16,8.6,15.16,323.142,362
2020-05-03T00:00:00.000Z,4.09,238.78,8.23,5.77,9.3,14.119,544
2020-05-04T00:00:00.000Z,6.53,999.9,12.26,8.44,14.61,99.853,423
2020-05-05T00:00:00.000Z,8.23,496.98,9.61,9.09,10.36,62.32,215
2020-05-06T00:00:00.000Z,3.96,991.82,5.82,4.72,9.32,127.619,416
2020-05-07T00:00:00.000Z,6.48,17.73,14.5,7.91,15.42,3.731,125
2020-05-08T00:00:00.000Z,2.2,10.72,3.01,2.78,3.28,0.915,183
2020-05-09T00:00:00.000Z,1.52,6,2.54,2.04,3.71,1.153,170
2020-05-10T00:00:00.000Z,2.24,10.02,3.54,2.8,4.9,1.37,214
2020-05-11T00:00:00.000Z,18.37,26.15,21.43,20.92,22.65,2.061,14
2020-05-12T00:00:00.000Z,6.72,23.73,10.95,7.8,12.02,2.691,188
2020-05-13T00:00:00.000Z,5.75,34.9,7.52,6.58,17.05,7.75,190
2020-05-14T00:00:00.000Z,6.5,127.47,8.96,7.73,11.15,14.064,176
2020-05-15T00:00:00.000Z,6.67,22.44,8.31,7.72,8.91,2.785,224
2020-05-16T00:00:00.000Z,3.86,999.9,7.96,4.84,11.88,163.812,343
2020-05-17T00:00:00.000Z,4.94,28.46,9.02,6.54,11.2,3.259,510
2020-05-18T00:00:00.000Z,1.84,4.48,2.68,2.41,3.16,0.544,176
2020-05-19T00:00:00.000Z,3.44,11.46,8.53,4.63,9.74,2.54,213
2020-05-20T00:00:00.000Z,2.38,6.42,3.28,2.85,3.88,1.018,143
2020-05-21T00:00:00.000Z,8.23,14.33,10.16,9.32,11.57,1.495,163
2020-05-22T00:00:00.000Z,11,999.9,13.04,12.57,303.83,240.96,204
2020-05-23T00:00:00.000Z,11.22,999.9,15.2,13.86,18.05,195.175,209
2020-05-24T00:00:00.000Z,4.45,25.5,15.75,13.58,17.76,3.623,428
2020-05-25T00:00:00.000Z,5.67,23.98,16.64,12.28,19.85,4.774,198
2020-05-26T00:00:00.000Z,7.25,40.1,11.33,9.9,12.49,3.49,161
2020-05-27T00:00:00.000Z,1.95,5.65,2.54,2.4,2.77,0.589,176
2020-05-28T00:00:00.000Z,2.5,9.35,3.77,3.2,6.03,1.775,203
2020-05-29T00:00:00.000Z,1.27,13.4,3.2,2.17,4.58,2.186,211
2020-05-30T00:00:00.000Z,0.88,17.39,3.45,2.8,4.84,2.398,510
2020-05-31T00:00:00.000Z,3.15,6.9,4.44,3.98,5.05,0.757,142
2020-06-01T00:00:00.000Z,3.08,3.47,3.31,3.14,3.45,0.159,4
2020-06-02T00:00:00.000Z,1.37,4.84,2.65,1.97,3.17,0.754,197
2020-06-03T00:00:00.000Z,2.9,34.97,4.91,4.15,6.22,3.237,250
2020-06-04T00:00:00.000Z,1.7,14.95,8.19,4.28,9,3.093,162
2020-06-05T00:00:00.000Z,4.25,92.55,6.33,5.42,9.18,7.608,152
2020-06-06T00:00:00.000Z,1.4,14.28,3.6,2.72,4.84,2.069,335
2020-06-07T00:00:00.000Z,0.9,11.28,1.87,1.47,2.67,1.952,373
2020-06-08T00:00:00.000Z,1.4,6.85,3.71,2.67,4.53,1.193,204
2020-06-09T00:00:00.000Z,2,62.78,5.28,4.55,6.02,5.549,133
2020-06-10T00:00:00.000Z,1.9,8.4,2.7,2.4,3.27,0.941,197
2020-06-11T00:00:00.000Z,2.1,6.95,2.83,2.58,3.65,1.064,183
2020-06-12T00:00:00.000Z,1.92,7.12,2.8,2.5,3.25,0.935,215
2020-06-13T00:00:00.000Z,1.75,23.32,3.04,2.6,3.7,1.47,462
2020-06-14T00:00:00.000Z,1.9,25.77,4.62,3.98,6.1,2.339,268
2020-06-15T00:00:00.000Z,1.52,10.7,3.9,2.22,4.72,1.745,199
2020-06-16T00:00:00.000Z,2.95,10.55,4.82,3.77,6.45,1.695,206
2020-06-17T00:00:00.000Z,4.25,26.52,10.72,9.05,16.5,5.237,161
