Unnamed: 0,temp_avg,dew_avg,hum_avg,wind_speed_avg,pressure_avg,precip,month,year,location
27,29.88888889,23.5,69.6,8.368568,1005.75783,0,8,2022,Thonburi Power Sub Station
28,27.66666667,23,76.1,8.0467,1009.14422,0,8,2022,Thonburi Power Sub Station
29,28.77777778,23,72.5,5.471756,1009.14422,0,8,2022,Thonburi Power Sub Station
30,28,24.11111111,80.3,9.173238,1009.14422,0,8,2022,Thonburi Power Sub Station
0,29.16666667,22.38888889,67.9,7.081096,1009.14422,0,10,2014,Thonburi Power Sub Station
1,28,22.61111111,73.3,9.495106,1009.14422,0,10,2014,Thonburi Power Sub Station
2,27.72222222,21.72222222,68.7,7.563898,1009.14422,0,10,2014,Thonburi Power Sub Station
3,29.11111111,22.66666667,69,9.816974,1009.14422,0,10,2014,Thonburi Power Sub Station
4,28.83333333,22.72222222,70.6,10.621644,1009.14422,0,10,2014,Thonburi Power Sub Station
5,27.83333333,22.66666667,74.5,12.87472,1009.14422,0,10,2014,Thonburi Power Sub Station
6,27.55555556,21.94444444,71,16.415268,1009.14422,0,10,2014,Thonburi Power Sub Station
7,26.77777778,22.55555556,77.8,12.07005,1009.14422,0,10,2014,Thonburi Power Sub Station
8,26.88888889,23,80.2,7.724832,1012.53061,0,10,2014,Thonburi Power Sub Station
9,29.44444444,22.94444444,69.4,9.334172,1009.14422,0,10,2014,Thonburi Power Sub Station
10,28.16666667,23.16666667,75.4,9.012304,1009.14422,0,10,2014,Thonburi Power Sub Station
11,29,22.22222222,68.3,8.690436,1012.53061,0,10,2014,Thonburi Power Sub Station
12,29,21.61111111,65,10.943512,1012.53061,0,10,2014,Thonburi Power Sub Station
13,29.27777778,20.77777778,61.1,15.449664,1012.53061,0,10,2014,Thonburi Power Sub Station
14,28.94444444,20.66666667,61.8,12.87472,1012.53061,0,10,2014,Thonburi Power Sub Station
15,29.16666667,19.94444444,58.1,9.816974,1012.53061,0,10,2014,Thonburi Power Sub Station
16,29.38888889,22.05555556,65.2,8.529502,1012.53061,0,10,2014,Thonburi Power Sub Station
17,29.61111111,21.55555556,62.7,10.943512,1009.14422,0,10,2014,Thonburi Power Sub Station
18,27.72222222,21.66666667,68.1,12.07005,1009.14422,0,10,2014,Thonburi Power Sub Station
19,28.16666667,22.83333333,74.3,11.26538,1012.53061,0,10,2014,Thonburi Power Sub Station
20,28.61111111,23.05555556,73.3,8.0467,1012.53061,0,10,2014,Thonburi Power Sub Station
21,29.27777778,22.88888889,69.4,8.690436,1012.53061,0,10,2014,Thonburi Power Sub Station
22,28.33333333,22.66666667,72.4,9.816974,988.82588,0,10,2014,Thonburi Power Sub Station
23,28.27777778,22.94444444,74,9.495106,988.82588,0,10,2014,Thonburi Power Sub Station
