,year,month,date,pm25,pm10,o3,no2,so2,co
21,2018,12,2018-12-16 00:00:00.000000000,98.96666666666667,58.6,,22.533333333333335,,
22,2019,1,2019-01-16 00:00:00.000000000,128.3548387096774,66.58064516129032,,27.70967741935484,,
23,2019,2,2019-02-14 12:00:00.000000000,83.32142857142857,43.142857142857146,,13.607142857142858,,
24,2019,3,2019-03-16 00:00:00.000000000,85.25806451612904,43.03225806451613,,13.935483870967742,,
25,2019,4,2019-04-15 12:00:00.000000000,70.6,33.5,,11.466666666666667,,
26,2019,5,2019-05-16 00:00:00.000000000,79.3225806451613,49.83870967741935,,14.709677419354838,,
27,2019,6,2019-06-15 12:00:00.000000000,60.233333333333334,36.7,,13.4,,
28,2019,7,2019-07-16 00:00:00.000000000,62.806451612903224,38.645161290322584,,11.741935483870968,,
29,2019,8,2019-08-16 00:00:00.000000000,55.16129032258065,31.193548387096776,,9.903225806451612,,
30,2019,9,2019-09-15 12:00:00.000000000,77.43333333333334,43.233333333333334,,15.8,,
31,2019,10,2019-10-16 00:00:00.000000000,80.6774193548387,43.0,,19.70967741935484,,
32,2019,11,2019-11-15 12:00:00.000000000,94.56666666666666,49.93333333333333,,22.8,,
33,2019,12,2019-12-15 12:48:00.000000000,104.86206896551724,53.58620689655172,,21.82758620689655,,
34,2020,1,2020-01-16 00:00:00.000000000,113.03225806451613,56.61290322580645,14.75,19.096774193548388,1.0,
35,2020,2,2020-02-15 00:00:00.000000000,115.72413793103448,58.93103448275862,14.866666666666667,15.586206896551724,1.0,
36,2020,3,2020-03-15 12:48:00.000000000,77.58620689655173,42.310344827586206,7.793103448275862,9.586206896551724,1.0,
37,2020,4,2020-04-15 12:00:00.000000000,72.53333333333333,37.733333333333334,13.033333333333333,9.7,2.6666666666666665,
38,2020,5,2020-05-16 00:00:00.000000000,58.74193548387097,32.12903225806452,12.35483870967742,8.67741935483871,,
39,2020,6,2020-06-15 12:00:00.000000000,51.0,28.833333333333332,10.3,9.5,,
40,2020,7,2020-07-16 00:00:00.000000000,56.935483870967744,29.677419354838708,10.419354838709678,9.838709677419354,1.0,
41,2020,8,2020-08-16 00:00:00.000000000,63.96774193548387,35.41935483870968,10.096774193548388,9.612903225806452,1.0,
42,2020,9,2020-09-15 12:00:00.000000000,57.370370370370374,28.814814814814813,11.033333333333333,10.25925925925926,1.0,
43,2020,10,2020-10-16 00:00:00.000000000,70.3225806451613,36.774193548387096,12.838709677419354,14.870967741935484,1.0,
44,2020,11,2020-11-15 12:00:00.000000000,84.73333333333333,45.0,17.266666666666666,17.772727272727273,1.1176470588235294,
45,2020,12,2020-12-16 00:00:00.000000000,97.96774193548387,52.806451612903224,16.516129032258064,23.772727272727273,1.375,
46,2021,1,2021-01-16 00:00:00.000000000,113.54838709677419,59.96774193548387,19.225806451612904,23.310344827586206,1.6153846153846154,
47,2021,2,2021-02-14 12:00:00.000000000,119.10714285714286,58.42857142857143,16.464285714285715,18.285714285714285,1.8214285714285714,
48,2021,3,2021-03-16 00:00:00.000000000,86.61290322580645,45.935483870967744,11.290322580645162,11.96774193548387,1.44,
49,2021,4,2021-04-15 12:00:00.000000000,74.2,37.6,12.733333333333333,10.533333333333333,1.7058823529411764,
50,2021,5,2021-05-16 00:00:00.000000000,61.74193548387097,30.451612903225808,11.96774193548387,8.548387096774194,1.4,
51,2021,6,2021-06-15 12:00:00.000000000,57.93333333333333,30.633333333333333,8.533333333333333,5.766666666666667,1.8571428571428572,
52,2021,7,2021-07-16 00:00:00.000000000,52.354838709677416,24.967741935483872,4.548387096774194,5.451612903225806,2.0,
53,2021,8,2021-08-16 00:00:00.000000000,52.516129032258064,26.0,3.870967741935484,5.387096774193548,1.0,
54,2021,9,2021-09-15 12:00:00.000000000,56.93333333333333,29.266666666666666,4.045454545454546,5.933333333333334,1.0,
55,2021,10,2021-10-16 00:00:00.000000000,63.70967741935484,34.225806451612904,,7.2,,
56,2021,11,2021-11-15 12:00:00.000000000,85.06666666666666,41.43333333333333,8.916666666666666,11.566666666666666,,
57,2021,12,2021-12-16 00:00:00.000000000,101.70967741935483,51.61290322580645,,16.741935483870968,,
58,2022,1,2022-01-16 00:00:00.000000000,90.2258064516129,47.25806451612903,,15.285714285714286,,
59,2022,2,2022-02-14 12:00:00.000000000,93.14285714285714,47.82142857142857,,13.047619047619047,,
60,2022,3,2022-03-16 00:00:00.000000000,78.09677419354838,38.806451612903224,,10.67741935483871,,
61,2022,4,2022-04-15 12:00:00.000000000,95.3,44.56666666666667,15.842105263157896,14.133333333333333,,
62,2022,5,2022-05-16 00:00:00.000000000,68.38709677419355,36.61290322580645,8.764705882352942,9.416666666666666,,
63,2022,6,2022-06-15 12:00:00.000000000,63.1,33.833333333333336,7.9523809523809526,10.172413793103448,,
64,2022,7,2022-07-16 00:00:00.000000000,60.096774193548384,28.483870967741936,6.2,7.380952380952381,,
65,2022,8,2022-08-16 00:00:00.000000000,63.58064516129032,30.9,6.846153846153846,10.25,,
66,2022,9,2022-09-15 12:00:00.000000000,68.16666666666667,31.4,4.958333333333333,11.033333333333333,1.0,
67,2022,10,2022-10-16 00:00:00.000000000,87.87096774193549,44.54838709677419,7.125,20.806451612903224,1.0,
68,2022,11,2022-11-15 12:00:00.000000000,90.5,41.8,,20.433333333333334,,
69,2022,12,2022-12-16 00:00:00.000000000,97.44,37.45161290322581,,13.56,,
70,2023,1,2023-01-16 00:00:00.000000000,26.24,42.74193548387097,,12.464285714285714,,
71,2023,2,2023-02-14 12:00:00.000000000,102.92592592592592,44.642857142857146,,13.142857142857142,,
72,2023,3,2023-03-16 00:00:00.000000000,106.45161290322581,52.935483870967744,,11.8,,
73,2023,4,2023-04-15 12:00:00.000000000,108.4,56.06666666666667,,11.208333333333334,,
74,2023,5,2023-05-16 00:00:00.000000000,79.74193548387096,50.806451612903224,,12.387096774193548,,
75,2023,6,2023-06-15 12:00:00.000000000,61.233333333333334,37.06666666666667,,8.307692307692308,,
76,2023,7,2023-07-16 00:00:00.000000000,60.54838709677419,,,,,
77,2023,8,2023-08-16 00:00:00.000000000,64.90322580645162,,,,,
78,2023,9,2023-09-15 12:00:00.000000000,62.1,,,,,
79,2023,10,2023-10-16 00:00:00.000000000,73.96774193548387,,,,,
80,2023,11,2023-11-15 12:00:00.000000000,83.33333333333333,,,,,
81,2023,12,2023-12-15 20:48:00.000000000,92.93333333333334,,,,,
